Team,Maps,RW%,OpK,MultiK,5v4%,4v5%,Traded%,ADR,FA,Map Name
HSG fe,6,48.7%,49.3%,0.90,73.3%,24.7%,22.1%,24.7,0.20,Anubis
INFINITE,5,46.9%,38.5%,0.84,81.1%,25.4%,22.1%,15.2,0.20,Anubis
Illuminar,40,49.9%,46.6%,0.79,70.9%,31.6%,19.3%,30.1,0.21,Anubis
Dusty Roots,8,46.8%,49.1%,0.81,70.9%,23.0%,18.2%,17.5,0.16,Anubis
Major Abusers,2,42.2%,46.7%,0.78,61.9%,25.0%,20.1%,18.5,0.09,Anubis
Sissi State Punks,1,45.8%,37.5%,0.67,66.7%,33.3%,21.7%,25.5,0.08,Anubis
RUSTEC,4,47.1%,47.1%,0.78,68.3%,28.3%,18.6%,23.4,0.20,Anubis
Let Her Cook,9,47.4%,51.6%,0.79,70.7%,22.6%,19.6%,20.0,0.15,Anubis
WINDINGO,2,45.8%,49.2%,0.83,72.4%,20.0%,19.1%,26.8,0.27,Anubis
LaChampionsLiga,6,47.4%,43.1%,0.75,79.7%,23.1%,19.8%,24.6,0.23,Anubis
Rebels,29,51.2%,48.4%,0.79,75.6%,28.4%,20.3%,23.5,0.19,Anubis
Galorys,29,47.3%,49.1%,0.79,67.2%,28.3%,19.4%,22.6,0.14,Anubis
ex-Enterprise,2,57.1%,59.5%,0.71,72.0%,35.3%,16.3%,23.2,0.12,Anubis
VENI VIDI VICI,2,51.9%,53.8%,0.71,82.1%,16.7%,19.4%,17.2,0.29,Anubis
Sprout,16,45.7%,45.7%,0.79,67.8%,27.1%,17.8%,23.1,0.17,Anubis
Permitta,71,48.3%,49.3%,0.76,71.7%,25.6%,19.3%,23.6,0.16,Anubis
15 Average,1,53.3%,63.3%,0.87,68.4%,27.3%,20.4%,30.1,0.07,Anubis
Apeks,20,47.7%,48.0%,0.73,74.8%,22.8%,19.5%,19.1,0.10,Anubis
Badass,2,48.9%,42.6%,0.79,70.0%,33.3%,26.7%,20.0,0.11,Anubis
Bounty Hunters,24,49.1%,49.5%,0.74,69.8%,28.8%,21.1%,20.3,0.13,Anubis
Cloud 10,1,45.8%,50.0%,0.92,75.0%,16.7%,26.2%,22.8,0.12,Anubis
Falcons,23,47.7%,47.7%,0.74,70.5%,26.8%,20.1%,21.1,0.20,Anubis
Spirit Academy,27,48.4%,49.5%,0.77,72.6%,24.6%,21.5%,19.6,0.17,Anubis
Take Flyte,28,48.6%,47.4%,0.82,68.8%,30.3%,19.8%,19.7,0.18,Anubis
Soda,1,43.5%,47.8%,0.61,63.6%,25.0%,22.4%,20.0,0.22,Anubis
Metizport,20,48.3%,46.2%,0.80,73.4%,26.9%,22.3%,20.5,0.15,Anubis
paiN Academy,7,48.3%,53.0%,0.79,66.2%,28.2%,18.9%,18.1,0.18,Anubis
Drippy Lab,3,48.4%,45.2%,0.71,71.4%,29.4%,23.9%,21.8,0.08,Anubis
OneDay fe,6,43.4%,44.4%,0.83,68.3%,23.7%,19.0%,22.6,0.15,Anubis
Chinggis Warriors,15,47.1%,47.7%,0.76,72.1%,24.3%,18.7%,16.8,0.18,Anubis
MAKING HISTORY,7,46.4%,38.6%,0.74,75.9%,27.9%,18.2%,22.7,0.19,Anubis
IKLA,7,47.8%,47.1%,0.80,75.0%,23.6%,22.3%,22.4,0.18,Anubis
Rhyno,33,49.6%,46.9%,0.77,72.0%,29.7%,20.0%,22.5,0.17,Anubis
Venom,2,47.2%,44.4%,0.75,62.5%,35.0%,17.6%,10.4,0.28,Anubis
upNEXT,1,43.5%,43.5%,0.74,100.0%,0.0%,15.4%,21.2,0.13,Anubis
Imp Pact fe,3,49.1%,45.3%,0.83,64.0%,35.7%,18.6%,18.8,0.25,Anubis
NomadS,3,47.9%,49.3%,0.77,66.7%,29.7%,17.6%,19.9,0.15,Anubis
UHKA,2,46.3%,31.7%,0.78,84.6%,28.6%,26.0%,19.1,0.32,Anubis
RUBY,34,47.1%,46.5%,0.76,69.9%,27.3%,20.4%,19.4,0.17,Anubis
777,10,44.3%,52.8%,0.75,65.2%,21.0%,19.4%,17.2,0.10,Anubis
Hype,4,50.5%,49.5%,0.81,73.3%,28.3%,18.4%,16.6,0.30,Anubis
Marca Registrada,3,46.9%,54.7%,0.83,62.9%,27.6%,26.5%,23.6,0.11,Anubis
InControl,8,46.0%,47.2%,0.80,72.7%,22.1%,20.1%,19.9,0.26,Anubis
Young Ninjas,14,49.4%,50.2%,0.76,69.0%,29.4%,21.2%,19.0,0.22,Anubis
Young Gods,1,43.5%,65.2%,0.78,66.7%,0.0%,17.3%,34.6,0.17,Anubis
MAG,6,45.4%,43.3%,0.90,72.1%,25.0%,19.3%,23.7,0.16,Anubis
WW,12,46.2%,48.8%,0.78,71.9%,21.9%,15.8%,22.6,0.09,Anubis
SENSEI,3,43.1%,46.6%,0.71,63.0%,25.8%,16.9%,17.7,0.16,Anubis
Alter Iron,1,45.8%,54.2%,0.71,46.2%,45.5%,22.7%,18.2,0.08,Anubis
Haspers,1,40.9%,59.1%,0.77,46.2%,33.3%,24.7%,18.6,0.14,Anubis
500,29,47.5%,44.5%,0.74,69.5%,29.9%,20.8%,24.3,0.23,Anubis
ECF,5,44.6%,45.5%,0.76,71.7%,21.8%,23.2%,16.8,0.09,Anubis
Arcade,5,43.4%,47.5%,0.79,66.0%,23.1%,16.6%,19.7,0.11,Anubis
GL Academy,7,42.5%,45.2%,0.74,64.8%,24.7%,19.5%,25.3,0.18,Anubis
Bad News Kangaroos,13,46.2%,48.1%,0.75,69.0%,24.6%,21.3%,21.8,0.30,Anubis
MANTRA,2,44.4%,50.0%,0.78,66.7%,22.2%,19.2%,18.4,0.06,Anubis
Unlucky Much?,1,53.3%,50.0%,0.77,66.7%,40.0%,15.2%,17.1,0.10,Anubis
Phoenix,3,49.3%,49.3%,0.68,73.7%,24.3%,19.9%,26.7,0.15,Anubis
Ninjas in Pyjamas,14,47.3%,46.6%,0.71,74.8%,22.9%,20.9%,20.2,0.21,Anubis
Vantage,12,47.4%,50.2%,0.71,69.9%,24.6%,17.8%,20.3,0.18,Anubis
ATOX,19,47.2%,48.1%,0.80,65.8%,30.1%,18.5%,21.6,0.17,Anubis
Underrated,1,45.7%,51.4%,0.77,66.7%,23.5%,18.7%,28.6,0.34,Anubis
FURIA,10,44.1%,47.2%,0.70,63.4%,26.5%,21.1%,19.5,0.29,Anubis
UNPAID,4,48.8%,54.8%,0.69,67.4%,26.3%,23.6%,18.7,0.23,Anubis
premghouls,1,38.1%,61.9%,0.71,53.8%,12.5%,16.2%,12.4,0.00,Anubis
The Art of War,2,43.5%,28.3%,0.80,61.5%,36.4%,22.5%,34.2,0.28,Anubis
ex-2GAME,1,47.2%,38.9%,0.81,64.3%,36.4%,25.0%,21.0,0.25,Anubis
Preasy,37,46.4%,45.4%,0.77,67.4%,29.0%,22.1%,21.0,0.19,Anubis
ENCE Athena,10,46.5%,47.1%,0.77,71.0%,24.8%,21.4%,23.5,0.12,Anubis
Final Form,5,44.4%,46.6%,0.82,69.4%,22.5%,21.7%,25.8,0.23,Anubis
LEON,11,44.1%,52.3%,0.75,64.4%,21.5%,16.5%,20.8,0.15,Anubis
Wizard,1,45.8%,54.2%,0.58,69.2%,18.2%,17.1%,18.9,0.08,Anubis
Reveal,2,47.8%,47.8%,0.83,77.3%,20.8%,23.8%,12.3,0.20,Anubis
Sashi,40,47.8%,47.3%,0.69,73.6%,24.6%,20.4%,22.0,0.17,Anubis
ex-GUILD fe,1,43.5%,52.2%,0.78,75.0%,9.1%,23.7%,33.4,0.30,Anubis
Hungary,4,49.4%,49.4%,0.73,80.0%,19.5%,19.1%,27.1,0.25,Anubis
Sharks Youngsters,4,45.2%,54.8%,0.70,63.0%,23.7%,22.3%,18.7,0.19,Anubis
VELOX,8,47.8%,48.4%,0.68,70.5%,26.5%,17.9%,24.2,0.27,Anubis
EYEBALLERS,49,45.0%,43.0%,0.74,72.4%,24.4%,16.9%,23.6,0.13,Anubis
KRÜ,24,44.8%,51.1%,0.73,66.0%,22.8%,22.4%,17.7,0.20,Anubis
Lotus fe,5,47.4%,49.1%,0.68,69.6%,25.9%,21.9%,22.0,0.29,Anubis
HAVU,20,46.4%,48.3%,0.73,69.4%,25.0%,20.7%,22.3,0.18,Anubis
DarkSide,1,45.8%,62.5%,0.83,66.7%,11.1%,25.6%,13.7,0.08,Anubis
Metizport X,4,45.8%,47.0%,0.71,69.2%,25.0%,19.6%,30.6,0.23,Anubis
Kosovo,4,45.9%,40.0%,0.74,52.9%,41.2%,20.7%,19.9,0.34,Anubis
Divina fe,5,46.2%,41.5%,0.75,79.5%,22.6%,24.9%,14.8,0.23,Anubis
ENCE Academy,25,46.1%,46.4%,0.73,69.4%,25.9%,22.2%,26.3,0.22,Anubis
PGE Turow,3,43.6%,49.1%,0.69,70.4%,17.9%,21.3%,14.9,0.16,Anubis
Lilmix,10,46.2%,47.2%,0.76,66.0%,28.2%,16.1%,25.7,0.15,Anubis
disciples,1,45.8%,62.5%,0.88,66.7%,11.1%,27.3%,25.8,0.04,Anubis
Belarus,3,48.2%,48.2%,0.68,66.7%,31.0%,19.4%,25.9,0.25,Anubis
los kogutos,1,43.5%,47.8%,0.83,66.7%,18.2%,19.0%,24.3,0.22,Anubis
Zomblers Academy,1,45.8%,66.7%,0.75,68.8%,0.0%,21.4%,21.1,0.29,Anubis
DETONATE,7,46.3%,51.4%,0.78,67.1%,24.7%,19.8%,26.6,0.16,Anubis
Illyrians,3,46.2%,41.5%,0.77,92.6%,13.2%,18.9%,24.2,0.26,Anubis
Jordan,1,45.7%,57.1%,0.80,60.0%,26.7%,14.0%,16.4,0.06,Anubis
WOPA,16,45.8%,41.2%,0.77,70.2%,28.7%,21.9%,21.8,0.18,Anubis
iNation,4,44.3%,50.0%,0.77,65.9%,22.7%,19.4%,17.5,0.09,Anubis
Bad News Chickens,4,46.2%,44.0%,0.74,67.5%,29.4%,22.8%,24.8,0.19,Anubis
Verdant,31,44.3%,43.7%,0.75,66.8%,26.9%,18.0%,17.8,0.19,Anubis
-72c,8,43.4%,41.2%,0.81,61.3%,30.8%,18.0%,22.5,0.09,Anubis
The Suspect,10,48.7%,44.9%,0.81,70.8%,30.8%,22.9%,22.6,0.28,Anubis
Secret,11,44.3%,45.8%,0.75,67.6%,24.8%,20.1%,17.4,0.27,Anubis
Daystar,1,43.5%,52.2%,0.57,66.7%,18.2%,12.7%,26.0,0.17,Anubis
DASH,8,44.8%,50.3%,0.66,66.3%,23.3%,20.2%,21.2,0.13,Anubis
Superfkrs,3,48.6%,45.8%,0.69,72.7%,28.2%,20.6%,20.0,0.11,Anubis
WICKED,5,40.5%,52.6%,0.75,63.9%,14.5%,19.2%,20.6,0.16,Anubis
Niory,1,27.8%,61.1%,0.89,45.5%,0.0%,14.5%,7.4,0.00,Anubis
Newhappy,7,48.7%,47.5%,0.80,81.3%,19.3%,19.8%,25.6,0.20,Anubis
Homyno,5,39.4%,45.0%,0.72,59.2%,23.3%,20.1%,21.6,0.20,Anubis
Viperio,10,44.9%,48.6%,0.75,71.7%,19.1%,20.1%,19.9,0.12,Anubis
Nuclear TigeRES,1,46.7%,36.7%,0.63,72.7%,31.6%,22.0%,26.1,0.13,Anubis
EC BANGA,1,38.1%,38.1%,0.62,75.0%,15.4%,19.3%,16.1,0.19,Anubis
Patins da Ferrari,13,44.0%,44.3%,0.70,64.3%,27.8%,18.5%,20.9,0.13,Anubis
jefet,2,43.1%,43.1%,0.71,63.6%,27.6%,22.7%,29.3,0.14,Anubis
PEAK fe,1,45.8%,50.0%,0.71,50.0%,41.7%,15.5%,14.0,0.12,Anubis
BOGATYRI,2,45.3%,43.4%,0.81,69.6%,26.7%,19.5%,19.9,0.23,Anubis
sYnck,15,45.0%,46.7%,0.66,69.6%,23.4%,18.2%,17.1,0.10,Anubis
Yawara,9,45.6%,48.3%,0.70,67.7%,25.2%,21.8%,19.3,0.20,Anubis
BHOP,2,38.2%,47.1%,0.74,68.8%,11.1%,14.4%,17.6,0.12,Anubis
Spotless,1,38.1%,47.6%,0.76,60.0%,18.2%,20.0%,17.7,0.10,Anubis
suxeN,1,45.8%,54.2%,0.75,61.5%,27.3%,20.0%,10.0,0.00,Anubis
ex-ENEIDA,5,39.3%,45.8%,0.64,59.2%,22.4%,20.4%,22.1,0.19,Anubis
Corinthians,10,41.8%,44.1%,0.69,68.1%,21.0%,18.5%,19.7,0.12,Anubis
SPORT,6,43.2%,44.7%,0.63,68.3%,22.2%,14.7%,19.2,0.17,Anubis
inSanitY fe,3,39.3%,41.0%,0.77,56.0%,27.8%,21.2%,20.2,0.25,Anubis
FyR,1,45.8%,54.2%,0.75,61.5%,27.3%,20.4%,24.7,0.00,Anubis
lajtbitexe,9,43.5%,43.5%,0.71,68.8%,24.0%,18.2%,21.7,0.14,Anubis
Lemondogs,2,38.1%,47.6%,0.71,65.0%,13.6%,15.7%,13.5,0.14,Anubis
GODSENT,1,35.0%,30.0%,0.50,83.3%,14.3%,20.9%,15.1,0.05,Anubis
Pantsu,3,43.3%,53.3%,0.83,68.8%,14.3%,18.9%,21.9,0.07,Anubis
LT5,4,40.2%,45.1%,0.77,73.0%,13.3%,17.5%,17.5,0.09,Anubis
st4rboys,1,31.6%,26.3%,0.74,40.0%,28.6%,19.7%,8.2,0.00,Anubis
2070,1,45.8%,37.5%,0.75,77.8%,26.7%,23.3%,20.3,0.25,Anubis
Onliners5,1,43.5%,60.9%,0.61,64.3%,11.1%,21.8%,13.7,0.13,Anubis
GL Prism,3,39.0%,47.5%,0.66,50.0%,29.0%,20.2%,17.1,0.10,Anubis
FORZE YNG,2,43.6%,41.6%,0.77,65.6%,28.3%,21.3%,21.2,0.10,Anubis
ex-Sprout,2,42.2%,44.4%,0.76,66.7%,20.8%,16.4%,16.2,0.24,Anubis
Derpy Kids,1,43.5%,52.2%,0.74,83.3%,0.0%,18.3%,13.7,0.09,Anubis
NITRO,1,40.9%,36.4%,0.77,62.5%,28.6%,21.7%,22.6,0.23,Anubis
Fluxo Demons,7,44.0%,44.7%,0.65,71.6%,21.7%,20.9%,23.2,0.27,Anubis
The Witchers,1,45.8%,54.2%,0.79,61.5%,27.3%,21.3%,13.4,0.33,Anubis
Limitless,20,41.1%,45.4%,0.70,68.2%,18.6%,19.9%,19.4,0.18,Anubis
Rocket,11,41.9%,48.7%,0.73,68.2%,17.1%,18.6%,20.3,0.11,Anubis
Duck Duck Goose,2,44.2%,48.8%,0.86,76.2%,13.6%,20.9%,25.2,0.12,Anubis
Agency,1,35.0%,30.0%,0.75,66.7%,21.4%,18.6%,15.6,0.15,Anubis
V1dar,8,38.2%,44.4%,0.74,59.4%,21.2%,18.8%,18.1,0.17,Anubis
Lazer Cats,2,41.2%,44.1%,0.74,66.7%,21.1%,15.3%,20.6,0.06,Anubis
The Nomads,2,47.7%,47.7%,0.73,71.4%,26.1%,18.5%,21.7,0.30,Anubis
Kappa Bar,4,42.9%,38.5%,0.76,68.6%,26.8%,22.7%,20.6,0.14,Anubis
LYG,6,39.8%,48.4%,0.76,61.3%,19.7%,18.3%,18.2,0.16,Anubis
Rounds,2,42.0%,48.0%,0.64,70.8%,15.4%,17.3%,24.6,0.18,Anubis
KZG,10,41.3%,46.6%,0.71,63.6%,21.8%,20.7%,21.5,0.16,Anubis
Turkey,1,40.9%,45.5%,0.77,70.0%,16.7%,14.1%,24.7,0.09,Anubis
Norway,2,40.7%,42.6%,0.74,69.6%,19.4%,21.5%,24.9,0.20,Anubis
francesinha,1,40.9%,40.9%,0.77,55.6%,30.8%,16.7%,23.1,0.00,Anubis
brazylijski luz,7,42.6%,47.3%,0.63,71.4%,16.7%,21.2%,20.3,0.23,Anubis
ex-Anonymo,2,35.0%,55.0%,0.82,54.5%,11.1%,19.2%,18.1,0.35,Anubis
Sashi Academy,3,42.1%,45.6%,0.70,69.2%,19.4%,16.2%,19.4,0.09,Anubis
SUBUTAI,1,38.1%,42.9%,0.81,66.7%,16.7%,17.7%,15.2,0.14,Anubis
Cringexe,1,38.1%,47.6%,1.00,70.0%,9.1%,13.3%,15.2,0.00,Anubis
Housebets,7,41.5%,46.1%,0.73,63.1%,23.4%,20.7%,23.6,0.30,Anubis
Moon,1,38.1%,38.1%,0.67,62.5%,23.1%,19.0%,17.8,0.19,Anubis
Eruption,3,40.0%,40.0%,0.72,75.0%,16.7%,16.4%,18.3,0.30,Anubis
ORKS,1,40.9%,50.0%,0.50,63.6%,18.2%,26.0%,16.0,0.00,Anubis
Apogee,13,43.0%,48.2%,0.69,59.1%,28.3%,21.4%,19.5,0.18,Anubis
Vanir,2,39.5%,42.9%,0.60,66.7%,20.0%,18.1%,26.2,0.28,Anubis
VERTEX,2,36.6%,39.0%,0.71,62.5%,20.0%,20.0%,22.4,0.15,Anubis
W7M,30,41.7%,41.7%,0.67,70.2%,21.7%,19.3%,18.0,0.15,Anubis
PeeP,1,38.1%,38.1%,0.71,87.5%,7.7%,17.7%,23.7,0.14,Anubis
LBS Norra,1,40.9%,40.9%,0.95,44.4%,38.5%,19.1%,19.9,0.00,Anubis
SunDogs,1,27.8%,61.1%,0.72,36.4%,14.3%,11.6%,20.7,0.06,Anubis
VP.Angels,1,43.5%,56.5%,0.48,69.2%,10.0%,11.8%,35.8,0.00,Anubis
YeYO,1,31.6%,52.6%,0.79,60.0%,0.0%,17.9%,8.7,0.05,Anubis
JOGA DE TERNO,6,44.1%,43.3%,0.64,72.7%,22.2%,18.0%,20.8,0.13,Anubis
SHPL,5,37.7%,43.4%,0.74,65.2%,16.7%,21.2%,18.9,0.12,Anubis
One More,6,38.8%,52.2%,0.69,60.0%,15.6%,19.4%,20.0,0.19,Anubis
Sunds Gymnasiet,1,45.8%,37.5%,0.71,77.8%,26.7%,26.4%,15.3,0.04,Anubis
WG Bandits,5,39.4%,44.7%,0.68,66.7%,17.3%,19.0%,20.6,0.16,Anubis
red demon,1,45.8%,50.0%,0.83,66.7%,25.0%,20.2%,11.8,0.12,Anubis
Kubix,3,42.6%,44.4%,0.65,62.5%,26.7%,16.3%,17.7,0.13,Anubis
Carnival,7,40.3%,43.0%,0.72,60.9%,24.7%,16.2%,13.3,0.11,Anubis
ADEPTS,5,40.8%,36.7%,0.68,75.0%,21.0%,22.3%,12.5,0.30,Anubis
PrizyvaNet,2,43.6%,46.2%,0.69,66.7%,23.8%,18.2%,12.8,0.08,Anubis
LOS,3,34.8%,37.7%,0.51,57.7%,20.9%,20.3%,21.6,0.28,Anubis
VexX,4,42.5%,42.5%,0.66,71.0%,21.4%,13.5%,24.3,0.33,Anubis
ex-Guild Eagles,3,43.1%,52.3%,0.68,67.6%,16.1%,16.7%,24.3,0.06,Anubis
2GAME,9,41.7%,45.8%,0.67,68.4%,19.6%,14.9%,17.2,0.14,Anubis
9INE Academy,1,31.6%,42.1%,0.68,75.0%,0.0%,20.3%,5.9,0.05,Anubis
xGOD,1,31.6%,47.4%,0.79,44.4%,20.0%,14.9%,25.1,0.00,Anubis
Old School,1,31.6%,42.1%,0.74,50.0%,18.2%,19.5%,15.0,0.11,Anubis
Benched Heroes,1,43.5%,39.1%,0.48,55.6%,35.7%,18.6%,27.8,0.04,Anubis
CyberMAN,1,40.9%,31.8%,0.86,57.1%,33.3%,23.3%,21.8,0.09,Anubis
TNL,7,37.4%,43.2%,0.65,61.2%,19.3%,21.0%,14.7,0.12,Anubis
Snakes Den,2,41.5%,39.0%,0.71,56.2%,32.0%,18.6%,23.9,0.20,Anubis
ThunderFlash,3,41.9%,41.9%,0.56,76.9%,16.7%,14.9%,20.3,0.21,Anubis
Argentina fe,1,38.1%,50.0%,0.81,60.0%,18.2%,15.0%,10.9,0.14,Anubis
ex-SPORT,1,35.0%,50.0%,0.70,70.0%,0.0%,17.3%,26.9,0.10,Anubis
QM fe,1,42.9%,46.4%,0.68,69.2%,20.0%,12.5%,23.7,0.07,Anubis
Astralis Talent,12,42.5%,46.2%,0.65,64.8%,23.1%,19.7%,22.4,0.22,Anubis
Molotov,2,43.6%,28.2%,0.67,72.7%,32.1%,23.0%,14.2,0.31,Anubis
Supernova,1,43.5%,39.1%,0.65,55.6%,35.7%,23.7%,16.8,0.22,Anubis
JANO,15,40.4%,44.5%,0.64,64.5%,21.3%,16.9%,20.7,0.14,Anubis
Sympa la force,2,38.3%,31.9%,0.72,46.7%,34.4%,21.1%,18.0,0.11,Anubis
Flying Angels,1,40.9%,31.8%,0.82,71.4%,26.7%,17.6%,18.6,0.32,Anubis
River Plate,1,31.6%,36.8%,0.95,42.9%,25.0%,24.7%,17.4,0.05,Anubis
Amped Red,1,38.1%,38.1%,0.86,87.5%,7.7%,13.4%,7.6,0.19,Anubis
NuTorious,1,46.7%,40.0%,0.60,58.3%,38.9%,18.6%,20.6,0.27,Anubis
Belgium,1,31.6%,31.6%,0.68,83.3%,7.7%,21.9%,26.6,0.21,Anubis
Esprots,2,35.0%,43.6%,0.72,58.8%,17.4%,17.7%,17.9,0.17,Anubis
ELUSIVEza's party,2,36.6%,43.9%,0.78,55.6%,21.7%,19.1%,13.3,0.27,Anubis
AL QATRAO,3,39.2%,34.2%,0.67,70.4%,23.1%,20.9%,16.5,0.18,Anubis
Players,3,35.0%,41.7%,0.67,52.0%,22.9%,15.9%,14.6,0.18,Anubis
DEMESIS,1,40.9%,31.8%,0.55,85.7%,20.0%,14.9%,14.3,0.05,Anubis
regain,4,36.7%,43.0%,0.68,64.7%,15.6%,16.9%,27.4,0.15,Anubis
Smoke,5,37.3%,39.1%,0.61,65.1%,19.4%,17.2%,18.7,0.14,Anubis
Aether,1,46.7%,40.0%,0.97,75.0%,27.8%,25.0%,29.8,0.17,Anubis
Bromo,3,38.3%,28.3%,0.77,77.8%,21.4%,18.8%,21.9,0.13,Anubis
Twisted Minds,4,40.2%,32.6%,0.59,56.7%,32.3%,19.0%,21.6,0.04,Anubis
Chetz,1,35.0%,25.0%,0.65,80.0%,20.0%,16.2%,9.8,0.30,Anubis
G3,8,37.7%,39.5%,0.67,67.2%,18.4%,15.3%,20.1,0.10,Anubis
7AM,1,38.1%,33.3%,0.62,85.7%,14.3%,26.7%,29.9,0.05,Anubis
Grindas,1,43.5%,43.5%,0.61,80.0%,15.4%,14.6%,12.4,0.26,Anubis
GENKID4M4,1,27.8%,44.4%,0.61,50.0%,10.0%,21.3%,11.3,0.00,Anubis
huge sweaty,3,33.9%,32.2%,0.61,63.2%,20.0%,18.1%,14.7,0.15,Anubis
Spain fe,1,31.6%,52.6%,0.63,50.0%,11.1%,19.2%,20.0,0.16,Anubis
SGGT,1,35.0%,30.0%,0.70,83.3%,14.3%,19.2%,14.8,0.00,Anubis
VC,2,29.7%,37.8%,0.59,57.1%,13.0%,12.6%,11.2,0.05,Anubis
Divine Vendetta,1,40.9%,36.4%,0.77,66.7%,23.1%,20.2%,9.5,0.18,Anubis
CEPTER,2,29.7%,32.4%,0.68,66.7%,12.0%,15.6%,17.4,0.08,Anubis
Kitsune,2,29.7%,45.9%,0.62,47.1%,15.0%,22.5%,11.3,0.11,Anubis
MungYu,1,23.5%,41.2%,0.76,42.9%,10.0%,19.4%,13.6,0.06,Anubis
RAPTORS EC,1,31.6%,47.4%,0.63,44.4%,20.0%,20.8%,13.3,0.21,Anubis
RED Canids Academy,2,40.9%,38.6%,0.64,70.6%,22.2%,21.1%,10.9,0.18,Anubis
DEAC,2,33.3%,48.7%,0.59,42.1%,25.0%,15.9%,15.4,0.26,Anubis
AntyDPM,1,43.5%,50.0%,0.70,54.5%,33.3%,15.7%,8.6,0.26,Anubis
OWL,1,38.1%,42.9%,0.52,55.6%,25.0%,19.0%,7.6,0.10,Anubis
FORZE Ladies,2,23.5%,47.1%,0.56,43.8%,5.6%,18.1%,25.8,0.12,Anubis
PIXEL,1,31.6%,31.6%,0.53,66.7%,15.4%,16.7%,27.2,0.00,Anubis
ex-Corinthians,1,27.8%,38.9%,0.44,57.1%,9.1%,13.0%,7.6,0.22,Anubis
XPERION NXT,1,13.3%,26.7%,0.73,50.0%,0.0%,21.9%,9.7,0.27,Anubis
BeBold,2,27.8%,36.1%,0.61,61.5%,8.7%,17.4%,25.2,0.06,Anubis
NoVum,1,38.1%,23.8%,0.81,80.0%,25.0%,17.4%,31.5,0.10,Anubis
TUSTE CHOPAKI,1,23.5%,47.1%,0.53,37.5%,11.1%,26.8%,17.2,0.29,Anubis
cleanup crew fe,1,27.8%,38.9%,0.72,71.4%,0.0%,16.2%,20.4,0.17,Anubis
GhoulsW,3,30.4%,42.9%,0.61,58.3%,9.4%,15.5%,21.9,0.16,Anubis
Superior,1,27.8%,44.4%,0.67,37.5%,20.0%,11.3%,10.3,0.00,Anubis
Revenge,1,31.6%,47.4%,0.74,44.4%,20.0%,11.9%,12.3,0.00,Anubis
LA RUGONETA,4,34.2%,44.9%,0.57,54.3%,18.2%,16.6%,11.5,0.15,Anubis
jahsdnmasjdm,3,32.8%,37.9%,0.55,59.1%,16.7%,15.3%,13.7,0.10,Anubis
Aware fe,6,34.5%,37.1%,0.57,65.1%,16.4%,20.1%,13.4,0.12,Anubis
Hawks,1,38.1%,19.0%,0.62,100.0%,23.5%,14.7%,21.5,0.10,Anubis
ex-Divina fe,1,27.8%,55.6%,0.44,50.0%,0.0%,19.7%,21.1,0.06,Anubis
Meta,1,31.6%,36.8%,0.63,57.1%,16.7%,14.3%,17.4,0.00,Anubis
Fisher College,1,45.8%,33.3%,0.46,62.5%,37.5%,12.2%,23.3,0.08,Anubis
VNT,1,35.0%,50.0%,0.55,60.0%,10.0%,12.7%,7.3,0.05,Anubis
ex-CatEvil,2,33.3%,23.1%,0.67,55.6%,26.7%,21.4%,28.6,0.15,Anubis
NeverPlay,1,27.8%,33.3%,0.67,50.0%,16.7%,17.3%,15.2,0.11,Anubis
Kraken,1,27.8%,72.2%,0.44,38.5%,0.0%,12.5%,8.7,0.11,Anubis
Victores Sumus,3,27.8%,33.3%,0.72,61.1%,11.1%,19.1%,15.7,0.17,Anubis
Carpe Diem,1,27.8%,27.8%,0.56,60.0%,15.4%,20.3%,21.2,0.17,Anubis
blockkstar,1,31.6%,36.8%,0.58,57.1%,16.7%,11.3%,30.2,0.16,Anubis
1WIN Academy,1,18.8%,50.0%,0.50,37.5%,0.0%,14.5%,12.1,0.00,Anubis
SkyFury,1,23.5%,35.3%,0.53,50.0%,9.1%,15.2%,22.1,0.06,Anubis
Wolves,1,27.8%,55.6%,0.44,40.0%,12.5%,11.9%,7.9,0.06,Anubis
Fishing The Bait,1,23.5%,35.3%,0.76,66.7%,0.0%,15.3%,20.1,0.00,Anubis
The Last Resort,1,35.0%,35.0%,0.35,57.1%,23.1%,25.7%,14.8,0.05,Anubis
2ez,1,18.8%,25.0%,0.94,25.0%,16.7%,10.0%,15.5,0.38,Anubis
Quixal,1,38.1%,23.8%,0.81,80.0%,25.0%,19.5%,23.3,0.29,Anubis
komsomolsk,1,23.5%,11.8%,0.59,50.0%,20.0%,15.9%,29.6,0.06,Anubis
The Boys,1,31.6%,31.6%,0.68,50.0%,23.1%,15.9%,17.1,0.16,Anubis
Monarch Realm,1,31.6%,26.3%,0.47,80.0%,14.3%,8.2%,7.4,0.00,Anubis
Amigosi,2,23.5%,44.1%,0.59,40.0%,10.5%,15.0%,16.4,0.09,Anubis
DEATHROW,1,18.8%,37.5%,0.62,50.0%,0.0%,16.2%,27.8,0.06,Anubis
Dripmen,1,27.8%,33.3%,0.56,83.3%,0.0%,18.1%,15.8,0.44,Anubis
Come Mid,1,31.6%,42.1%,0.68,62.5%,9.1%,9.1%,12.7,0.05,Anubis
Teamwork,1,13.3%,40.0%,0.87,33.3%,0.0%,18.2%,17.8,0.20,Anubis
