Team,Maps,Won - Lost,Pistol win %,Round 2 conv,Round 2 break,Map Name
The Prodigies SE,2,0 - 4,0.0%,-,25.0%,Mirage
2ez,1,1 - 1,50.0%,100.0%,0.0%,Mirage
ILIN,1,1 - 1,50.0%,100.0%,0.0%,Mirage
Chile,1,1 - 1,50.0%,100.0%,0.0%,Mirage
Grayfox,1,0 - 2,0.0%,-,0.0%,Mirage
LE-LUX,1,2 - 0,100.0%,50.0%,-,Mirage
RAGE,1,0 - 2,0.0%,-,0.0%,Mirage
1WIN Gang,3,3 - 3,50.0%,100.0%,0.0%,Mirage
Norway,2,2 - 2,50.0%,100.0%,0.0%,Mirage
Rounds,1,1 - 1,50.0%,100.0%,0.0%,Mirage
DEAC,3,2 - 4,33.3%,50.0%,0.0%,Mirage
Unlucky Much?,1,1 - 1,50.0%,100.0%,0.0%,Mirage
Northern Lights,1,2 - 0,100.0%,100.0%,-,Mirage
AVEZ,4,3 - 5,37.5%,100.0%,0.0%,Mirage
ELO Throwers,1,1 - 1,50.0%,0.0%,0.0%,Mirage
AL QATRAO,1,0 - 2,0.0%,-,0.0%,Mirage
Canon Event,1,1 - 1,50.0%,100.0%,0.0%,Mirage
DNA,1,0 - 2,0.0%,-,100.0%,Mirage
MMM,1,2 - 0,100.0%,100.0%,-,Mirage
Preasy,15,8 - 22,26.7%,75.0%,4.5%,Mirage
huge sweaty,1,0 - 2,0.0%,-,0.0%,Mirage
Penance,1,0 - 2,0.0%,-,50.0%,Mirage
4Point5,1,1 - 1,50.0%,100.0%,0.0%,Mirage
Astralis W,5,6 - 4,60.0%,83.3%,0.0%,Mirage
VELOX,2,2 - 2,50.0%,100.0%,0.0%,Mirage
SemperFi,1,1 - 1,50.0%,100.0%,0.0%,Mirage
CatEvil,3,1 - 5,16.7%,100.0%,20.0%,Mirage
Hong Kong fe,1,0 - 2,0.0%,-,0.0%,Mirage
Last Dance,1,0 - 2,0.0%,-,0.0%,Mirage
Come Mid,1,1 - 1,50.0%,100.0%,0.0%,Mirage
Underground,1,1 - 1,50.0%,0.0%,100.0%,Mirage
Unjustified,3,3 - 3,50.0%,66.7%,33.3%,Mirage
Fluxo Demons,1,1 - 1,50.0%,100.0%,0.0%,Mirage
LOCK IN,1,0 - 2,0.0%,-,0.0%,Mirage
Vibe,5,4 - 6,40.0%,75.0%,33.3%,Mirage
los kogutos,1,1 - 1,50.0%,100.0%,0.0%,Mirage
WDG,1,2 - 0,100.0%,100.0%,-,Mirage
bubibabu,1,1 - 1,50.0%,100.0%,0.0%,Mirage
Venom,1,1 - 1,50.0%,0.0%,100.0%,Mirage
gfg123321,1,0 - 2,0.0%,-,0.0%,Mirage
O PLANO,2,0 - 4,0.0%,-,0.0%,Mirage
Amigosi,1,1 - 1,50.0%,100.0%,0.0%,Mirage
Memo,1,0 - 2,0.0%,-,0.0%,Mirage
Forward,2,2 - 2,50.0%,0.0%,0.0%,Mirage
Spotless,1,2 - 0,100.0%,50.0%,-,Mirage
101EST,4,1 - 7,12.5%,0.0%,0.0%,Mirage
Nirvana,1,0 - 2,0.0%,-,0.0%,Mirage
Mai Mee Tang,1,1 - 1,50.0%,100.0%,0.0%,Mirage
suxeN,1,1 - 1,50.0%,100.0%,0.0%,Mirage
Elocon,1,1 - 1,50.0%,100.0%,0.0%,Mirage
Freaky Saturday,1,0 - 2,0.0%,-,50.0%,Mirage
Gostivar,1,1 - 1,50.0%,100.0%,0.0%,Mirage
Permitta W,4,2 - 6,25.0%,100.0%,0.0%,Mirage
Malmö,1,0 - 2,0.0%,-,0.0%,Mirage
BEZFORMbI,1,0 - 2,0.0%,-,0.0%,Mirage
Amped,1,1 - 1,50.0%,100.0%,0.0%,Mirage
Aware fe,3,4 - 2,66.7%,50.0%,0.0%,Mirage
SPORT,2,2 - 2,50.0%,0.0%,0.0%,Mirage
WiLD,1,1 - 1,50.0%,100.0%,0.0%,Mirage
Amped Red,1,2 - 0,100.0%,0.0%,-,Mirage
monaco,1,2 - 0,100.0%,50.0%,-,Mirage
MANTRA,1,1 - 1,50.0%,0.0%,0.0%,Mirage
Young Gods,4,3 - 5,37.5%,33.3%,0.0%,Mirage
Lumen fe,1,0 - 2,0.0%,-,50.0%,Mirage
UGANDA,1,1 - 1,50.0%,100.0%,0.0%,Mirage
KG fe,4,5 - 3,62.5%,20.0%,0.0%,Mirage
Abyss,1,0 - 2,0.0%,-,0.0%,Mirage
TOG,1,1 - 1,50.0%,100.0%,0.0%,Mirage
INFURITY,1,1 - 1,50.0%,100.0%,0.0%,Mirage
NeverPlay,1,0 - 2,0.0%,-,0.0%,Mirage
3DMAX,2,0 - 4,0.0%,-,25.0%,Mirage
EVOLUTION,1,1 - 1,50.0%,100.0%,0.0%,Mirage
Invictum,2,1 - 3,25.0%,100.0%,33.3%,Mirage
CAPIVARAS,3,0 - 6,0.0%,-,16.7%,Mirage
LBS Norra,1,0 - 2,0.0%,-,0.0%,Mirage
Tunisia,2,0 - 4,0.0%,-,0.0%,Mirage
DETONATE,1,0 - 2,0.0%,-,0.0%,Mirage
MCS,1,1 - 1,50.0%,100.0%,0.0%,Mirage
Kitsune,2,1 - 3,25.0%,0.0%,0.0%,Mirage
Will to Win,1,1 - 1,50.0%,0.0%,0.0%,Mirage
Benched Heroes,1,0 - 2,0.0%,-,0.0%,Mirage
Retirement Home,1,1 - 1,50.0%,0.0%,0.0%,Mirage
ex-SPORT,1,0 - 2,0.0%,-,0.0%,Mirage
Eruption,1,1 - 1,50.0%,0.0%,0.0%,Mirage
ACME,2,2 - 2,50.0%,100.0%,0.0%,Mirage
North Macedonia,1,1 - 1,50.0%,100.0%,0.0%,Mirage
LBSnykpg,1,0 - 2,0.0%,-,0.0%,Mirage
Jake Bube,1,0 - 2,0.0%,-,0.0%,Mirage
sunshine,1,0 - 2,0.0%,-,0.0%,Mirage
GRDX,1,0 - 2,0.0%,-,0.0%,Mirage
Legacy US,1,0 - 2,0.0%,-,0.0%,Mirage
FlyingH1rsch,1,0 - 2,0.0%,-,0.0%,Mirage
kz5,1,0 - 2,0.0%,-,0.0%,Mirage
Tseg Taslal,1,1 - 1,50.0%,0.0%,0.0%,Mirage
Parkers Money Crew,1,0 - 2,0.0%,-,0.0%,Mirage
VENI VIDI VICI,1,0 - 2,0.0%,-,50.0%,Mirage
FORZE YNG,1,1 - 1,50.0%,0.0%,0.0%,Mirage
Al-Ittihad,1,0 - 2,0.0%,-,0.0%,Mirage
BESTIA Academy,1,2 - 0,100.0%,0.0%,-,Mirage
Þór,1,0 - 2,0.0%,-,0.0%,Mirage
COVEN,5,2 - 8,20.0%,100.0%,0.0%,Mirage
MungYu,1,0 - 2,0.0%,-,0.0%,Mirage
Eternal Fire Academy,1,0 - 2,0.0%,-,0.0%,Mirage
2ez,1,2 - 0,100.0%,100.0%,-,Nuke
Eruption,1,2 - 0,100.0%,100.0%,-,Nuke
Nigma Galaxy,1,2 - 0,100.0%,100.0%,-,Nuke
5W,2,3 - 1,75.0%,100.0%,0.0%,Nuke
Sunds Gymnasiet,1,2 - 0,100.0%,100.0%,-,Nuke
Grindas,1,2 - 0,100.0%,100.0%,-,Nuke
Onyx Ravens,3,5 - 1,83.3%,100.0%,0.0%,Nuke
Shimmer,4,5 - 3,62.5%,80.0%,0.0%,Nuke
Spain fe,1,1 - 1,50.0%,100.0%,0.0%,Nuke
TIMACETA,1,1 - 1,50.0%,100.0%,0.0%,Nuke
BeBold,1,2 - 0,100.0%,100.0%,-,Nuke
SovvyKiNG,1,2 - 0,100.0%,50.0%,-,Nuke
Honvéd,1,1 - 1,50.0%,100.0%,0.0%,Nuke
2070,1,1 - 1,50.0%,100.0%,0.0%,Nuke
For Fun,2,2 - 2,50.0%,100.0%,50.0%,Nuke
Shush,1,1 - 1,50.0%,100.0%,0.0%,Nuke
iNation,1,1 - 1,50.0%,100.0%,100.0%,Nuke
awesome academy,1,2 - 0,100.0%,100.0%,-,Nuke
Kubix,1,1 - 1,50.0%,0.0%,100.0%,Nuke
FURIA fe,7,10 - 4,71.4%,100.0%,50.0%,Nuke
MIBR fe,3,3 - 3,50.0%,100.0%,0.0%,Nuke
Nemesis fe,1,2 - 0,100.0%,100.0%,-,Nuke
Punishers,1,2 - 0,100.0%,100.0%,-,Nuke
Kario Mart,1,2 - 0,100.0%,50.0%,-,Nuke
DASH,3,4 - 2,66.7%,100.0%,50.0%,Nuke
G3,3,5 - 1,83.3%,80.0%,0.0%,Nuke
Imperial fe,3,6 - 0,100.0%,100.0%,-,Nuke
Poland fe,3,4 - 2,66.7%,100.0%,0.0%,Nuke
LOS,2,2 - 2,50.0%,100.0%,0.0%,Nuke
Just Swing,1,0 - 2,0.0%,-,0.0%,Nuke
hypewrld,2,1 - 3,25.0%,100.0%,0.0%,Nuke
RAPTORS EC,1,1 - 1,50.0%,100.0%,0.0%,Nuke
Pigeons,6,7 - 5,58.3%,85.7%,20.0%,Nuke
Jeeves,2,2 - 2,50.0%,100.0%,0.0%,Nuke
TUSTE CHOPAKI,1,0 - 2,0.0%,-,0.0%,Nuke
jefet,1,2 - 0,100.0%,100.0%,-,Nuke
500 Rush,2,0 - 4,0.0%,-,50.0%,Nuke
The Last Resort,3,4 - 2,66.7%,100.0%,0.0%,Nuke
Fluxo Demons,18,20 - 16,55.6%,100.0%,6.2%,Nuke
ex-FORZE Ladies,1,1 - 1,50.0%,100.0%,0.0%,Nuke
Coalesce,1,1 - 1,50.0%,0.0%,0.0%,Nuke
Teamwork,1,2 - 0,100.0%,50.0%,-,Nuke
dream catchers fe,2,1 - 3,25.0%,100.0%,33.3%,Nuke
The Boys,1,1 - 1,50.0%,100.0%,0.0%,Nuke
Lilmix,2,1 - 3,25.0%,100.0%,33.3%,Nuke
Sympa la force,1,1 - 1,50.0%,100.0%,0.0%,Nuke
FlyQuest RED,2,1 - 3,25.0%,100.0%,33.3%,Nuke
TRAFFIC Tashkent,3,3 - 3,50.0%,66.7%,0.0%,Nuke
TOG,1,1 - 1,50.0%,100.0%,0.0%,Nuke
Norway,3,5 - 1,83.3%,80.0%,0.0%,Nuke
Akimbo,5,7 - 3,70.0%,85.7%,33.3%,Nuke
Mindfreak,30,37 - 23,61.7%,79.4%,21.7%,Nuke
huge sweaty,1,1 - 1,50.0%,0.0%,0.0%,Nuke
GameHunters,5,8 - 2,80.0%,50.0%,50.0%,Nuke
panelinha,2,2 - 2,50.0%,100.0%,0.0%,Nuke
IHC,8,7 - 9,43.8%,100.0%,0.0%,Nuke
Belgium,1,1 - 1,50.0%,100.0%,100.0%,Nuke
Perseverance,6,7 - 5,58.3%,100.0%,20.0%,Nuke
OVERFRAG,1,0 - 2,0.0%,-,50.0%,Nuke
st4rboys,1,0 - 2,0.0%,-,0.0%,Nuke
PeeP,1,1 - 1,50.0%,100.0%,0.0%,Nuke
Zomblers,2,3 - 1,75.0%,100.0%,0.0%,Nuke
NAVI Javelins,8,9 - 7,56.2%,100.0%,0.0%,Nuke
Newhappy,4,6 - 2,75.0%,83.3%,50.0%,Nuke
HeizerS,1,0 - 2,0.0%,-,0.0%,Nuke
DarkSide,1,2 - 0,100.0%,100.0%,-,Nuke
TYLOO,22,21 - 23,47.7%,95.2%,22.7%,Nuke
Vitality,30,34 - 26,56.7%,85.3%,30.8%,Nuke
Twisted Minds,2,2 - 2,50.0%,100.0%,50.0%,Nuke
Nirvana,1,1 - 1,50.0%,100.0%,0.0%,Nuke
Latvia,1,2 - 0,100.0%,50.0%,-,Nuke
EGO,1,1 - 1,50.0%,100.0%,0.0%,Nuke
Þór,1,1 - 1,50.0%,100.0%,0.0%,Nuke
VexX,3,4 - 2,66.7%,100.0%,50.0%,Nuke
00NATION,2,1 - 3,25.0%,0.0%,33.3%,Nuke
E-Xolos LAZER,16,15 - 17,46.9%,80.0%,17.6%,Nuke
Lewandownskie,1,1 - 1,50.0%,100.0%,0.0%,Nuke
Blessed,2,0 - 4,0.0%,-,25.0%,Nuke
Legacy,19,24 - 14,63.2%,100.0%,14.3%,Nuke
JiJieHao,4,5 - 3,62.5%,80.0%,0.0%,Nuke
XPERION NXT,1,1 - 1,50.0%,100.0%,0.0%,Nuke
BIG EQUIPA,6,5 - 7,41.7%,100.0%,14.3%,Nuke
The MongolZ,32,39 - 25,60.9%,81.6%,24.0%,Nuke
Imperial,64,78 - 50,60.9%,79.5%,16.0%,Nuke
RKON,2,1 - 3,25.0%,100.0%,0.0%,Nuke
Serbia,2,2 - 2,50.0%,50.0%,50.0%,Nuke
G2,30,33 - 27,55.0%,84.8%,14.8%,Nuke
Grayhound,5,4 - 6,40.0%,75.0%,50.0%,Nuke
SHPL,2,1 - 3,25.0%,100.0%,66.7%,Nuke
SGGT,1,2 - 0,100.0%,100.0%,-,Nuke
JANO,8,8 - 8,50.0%,100.0%,37.5%,Nuke
FlyQuest,14,11 - 17,39.3%,90.9%,23.5%,Nuke
regnum4games,1,1 - 1,50.0%,100.0%,0.0%,Nuke
Bad News Kangaroos,13,11 - 15,42.3%,90.9%,40.0%,Nuke
MIBR,49,55 - 43,56.1%,83.6%,16.3%,Nuke
MAKING HISTORY,3,3 - 3,50.0%,100.0%,33.3%,Nuke
Sharks Youngsters,3,4 - 2,66.7%,50.0%,0.0%,Nuke
Nouns,32,36 - 28,56.2%,86.1%,17.9%,Nuke
brazylijski luz,12,16 - 8,66.7%,86.7%,12.5%,Nuke
MOUZ,31,29 - 33,46.8%,86.2%,18.2%,Nuke
ex-ThunderFlash,4,5 - 3,62.5%,75.0%,0.0%,Nuke
Aurora,50,50 - 50,50.0%,84.0%,32.0%,Nuke
Grannys Knockers,8,8 - 8,50.0%,100.0%,37.5%,Nuke
OneDay fe,1,1 - 1,50.0%,100.0%,0.0%,Nuke
CEPTER,2,2 - 2,50.0%,100.0%,100.0%,Nuke
9 Pandas,59,65 - 53,55.1%,82.8%,13.2%,Nuke
Fluxo,61,59 - 63,48.4%,81.4%,7.9%,Nuke
paiN,78,77 - 79,49.4%,89.6%,19.0%,Nuke
NKT,7,6 - 8,42.9%,66.7%,50.0%,Nuke
vagrants,2,2 - 2,50.0%,100.0%,0.0%,Nuke
Flying Angels,1,0 - 2,0.0%,-,0.0%,Nuke
ex-sYnck,1,1 - 1,50.0%,100.0%,0.0%,Nuke
FURIA,38,43 - 33,56.6%,81.4%,39.4%,Nuke
Monte Gen,16,18 - 14,56.2%,94.4%,0.0%,Nuke
M80,7,6 - 8,42.9%,66.7%,0.0%,Nuke
CUBE,1,1 - 1,50.0%,100.0%,0.0%,Nuke
Spectre,1,0 - 2,0.0%,-,0.0%,Nuke
SAW,62,66 - 58,53.2%,86.4%,39.7%,Nuke
SNOGARD Dragons,1,2 - 0,100.0%,100.0%,-,Nuke
777,7,8 - 6,57.1%,75.0%,0.0%,Nuke
CPH Wolves,19,19 - 19,50.0%,94.7%,10.5%,Nuke
Liquid,30,32 - 28,53.3%,84.4%,14.3%,Nuke
9z,50,55 - 45,55.0%,83.3%,20.0%,Nuke
Wildcard,22,19 - 25,43.2%,89.5%,4.0%,Nuke
RED Canids,57,56 - 58,49.1%,82.1%,5.2%,Nuke
Zero Tenacity,62,68 - 56,54.8%,73.5%,19.6%,Nuke
FORZE,33,36 - 30,54.5%,75.0%,13.3%,Nuke
Permitta W,3,2 - 4,33.3%,50.0%,25.0%,Nuke
HOTU,18,19 - 17,52.8%,89.5%,5.9%,Nuke
ARCRED,21,26 - 16,61.9%,84.6%,0.0%,Nuke
Spirit,31,30 - 32,48.4%,86.7%,12.5%,Nuke
Espionage,40,39 - 41,48.8%,97.4%,19.5%,Nuke
NRG,11,15 - 7,68.2%,86.7%,28.6%,Nuke
Party Astronauts,36,30 - 42,41.7%,93.3%,23.8%,Nuke
Eternal Fire,29,28 - 30,48.3%,67.9%,23.3%,Nuke
ATOX,19,23 - 15,60.5%,82.6%,26.7%,Nuke
Astralis W,3,3 - 3,50.0%,33.3%,33.3%,Nuke
L&G,1,1 - 1,50.0%,0.0%,0.0%,Nuke
Monte,44,42 - 46,47.7%,85.7%,19.6%,Nuke
3DMAX,61,64 - 58,52.5%,85.7%,37.9%,Nuke
PARIVISION,27,27 - 27,50.0%,77.8%,3.7%,Nuke
One More,5,6 - 4,60.0%,66.7%,50.0%,Nuke
Astralis,24,27 - 21,56.2%,92.6%,9.5%,Nuke
PALOMA,1,1 - 1,50.0%,100.0%,0.0%,Nuke
Arrow,3,3 - 3,50.0%,66.7%,0.0%,Nuke
KOI,44,40 - 48,45.5%,84.6%,29.8%,Nuke
WOPA,8,11 - 5,68.8%,100.0%,0.0%,Nuke
AURA,1,2 - 0,100.0%,100.0%,-,Nuke
B8,52,49 - 55,47.1%,77.6%,20.0%,Nuke
HEROIC,42,48 - 36,57.1%,89.6%,19.4%,Nuke
ODDIK,62,66 - 58,53.2%,83.3%,5.2%,Nuke
RUBY,39,40 - 38,51.3%,87.5%,18.4%,Nuke
TNL,1,1 - 1,50.0%,100.0%,100.0%,Nuke
Slugy's Shekel Squad,2,3 - 1,75.0%,100.0%,0.0%,Nuke
Evil Geniuses,2,2 - 2,50.0%,100.0%,0.0%,Nuke
Enterprise,51,53 - 49,52.0%,84.9%,10.2%,Nuke
GenOne,13,9 - 17,34.6%,66.7%,0.0%,Nuke
Johnny Speeds,25,24 - 26,48.0%,75.0%,30.8%,Nuke
Partizan,4,3 - 5,37.5%,100.0%,20.0%,Nuke
Invictum,3,4 - 2,66.7%,75.0%,0.0%,Nuke
OG,11,14 - 8,63.6%,78.6%,0.0%,Nuke
Vibe,3,4 - 2,66.7%,100.0%,0.0%,Nuke
EXO,4,2 - 6,25.0%,100.0%,16.7%,Nuke
Insilio,56,54 - 58,48.2%,85.2%,15.5%,Nuke
Take Flyte,13,14 - 12,53.8%,85.7%,16.7%,Nuke
Nemiga,14,13 - 15,46.4%,61.5%,13.3%,Nuke
Sashi,57,61 - 53,53.5%,88.5%,15.1%,Nuke
ECSTATIC,34,28 - 40,41.2%,82.1%,25.0%,Nuke
Astralis Talent,26,29 - 23,55.8%,79.3%,31.8%,Nuke
Fisher Tsunami,3,3 - 3,50.0%,66.7%,33.3%,Nuke
adalYamigos,9,8 - 10,44.4%,100.0%,10.0%,Nuke
inSanitY,21,23 - 19,54.8%,87.0%,15.8%,Nuke
Angel numbers,1,1 - 1,50.0%,100.0%,0.0%,Nuke
Spirit Academy,29,27 - 31,46.6%,81.5%,9.7%,Nuke
premdesant,1,2 - 0,100.0%,100.0%,-,Nuke
Xiaoma,2,2 - 2,50.0%,100.0%,0.0%,Nuke
Limitless,11,9 - 13,40.9%,88.9%,7.7%,Nuke
ORKS,2,2 - 2,50.0%,100.0%,0.0%,Nuke
undefined,4,3 - 5,37.5%,100.0%,0.0%,Nuke
True Rippers,5,7 - 3,70.0%,71.4%,0.0%,Nuke
TSM,38,30 - 46,39.5%,86.7%,15.2%,Nuke
GamerLegion,33,26 - 40,39.4%,92.3%,15.0%,Nuke
BESTIA,38,34 - 42,44.7%,94.1%,26.2%,Nuke
FaZe,44,51 - 37,58.0%,86.3%,13.5%,Nuke
Souls Heart,1,1 - 1,50.0%,100.0%,0.0%,Nuke
Apogee,15,18 - 12,60.0%,83.3%,25.0%,Nuke
ENTiTY,1,0 - 2,0.0%,-,100.0%,Nuke
SINNERS,74,79 - 69,53.4%,82.3%,8.7%,Nuke
BIG,17,17 - 17,50.0%,76.5%,17.6%,Nuke
Strife,9,10 - 8,55.6%,80.0%,12.5%,Nuke
Heimo,13,11 - 15,42.3%,63.6%,33.3%,Nuke
BLEED,15,19 - 11,63.3%,100.0%,0.0%,Nuke
MOUZ NXT,47,40 - 54,42.6%,84.6%,14.8%,Nuke
Portugal,1,1 - 1,50.0%,100.0%,0.0%,Nuke
9INE,34,34 - 34,50.0%,82.4%,2.9%,Nuke
Carpe Diem,8,6 - 10,37.5%,83.3%,20.0%,Nuke
Case,64,59 - 69,46.1%,88.1%,20.3%,Nuke
Bad News Chickens,6,5 - 7,41.7%,100.0%,28.6%,Nuke
Bad News Bricks,1,2 - 0,100.0%,100.0%,-,Nuke
timbermen,5,5 - 5,50.0%,80.0%,20.0%,Nuke
Belfast Storm,3,5 - 1,83.3%,60.0%,0.0%,Nuke
Verdant,33,38 - 28,57.6%,81.6%,10.7%,Nuke
AMKAL,29,27 - 31,46.6%,77.8%,3.2%,Nuke
Czech Republic,1,1 - 1,50.0%,100.0%,0.0%,Nuke
ex-Enterprise,4,5 - 3,62.5%,100.0%,0.0%,Nuke
Movistar Riders,1,1 - 1,50.0%,0.0%,100.0%,Nuke
Penance,1,1 - 1,50.0%,100.0%,0.0%,Nuke
Natus Vincere,31,30 - 32,48.4%,86.7%,12.5%,Nuke
RUSH B,28,28 - 28,50.0%,75.0%,10.7%,Nuke
Clutch,8,7 - 9,43.8%,71.4%,33.3%,Nuke
ECLOT,60,66 - 54,55.0%,78.8%,18.9%,Nuke
Rhyno,23,25 - 21,54.3%,96.0%,14.3%,Nuke
FLUFFY AIMERS,10,7 - 13,35.0%,71.4%,7.7%,Nuke
KRÜ,30,32 - 28,53.3%,78.1%,14.3%,Nuke
EmbapeEnvape,1,0 - 2,0.0%,-,0.0%,Nuke
The Huns,15,13 - 17,43.3%,92.3%,17.6%,Nuke
BetBoom,42,44 - 40,52.4%,88.6%,12.5%,Nuke
ENCE Academy,20,20 - 20,50.0%,75.0%,15.0%,Nuke
ROSOMAHA,2,3 - 1,75.0%,66.7%,0.0%,Nuke
FPL Friends,3,3 - 3,50.0%,100.0%,0.0%,Nuke
Nexus,49,56 - 42,57.1%,78.6%,19.0%,Nuke
fnatic,7,8 - 6,57.1%,100.0%,16.7%,Nuke
Gaimin Gladiators,30,27 - 33,45.0%,85.2%,12.1%,Nuke
sunday school,6,5 - 7,41.7%,100.0%,28.6%,Nuke
Sweden fe,1,1 - 1,50.0%,100.0%,0.0%,Nuke
Over30,1,2 - 0,100.0%,100.0%,-,Nuke
Karma,4,4 - 4,50.0%,100.0%,25.0%,Nuke
Housebets,8,4 - 12,25.0%,100.0%,25.0%,Nuke
Sangal,47,47 - 47,50.0%,83.0%,27.7%,Nuke
Vikings KR,7,6 - 8,42.9%,100.0%,25.0%,Nuke
VELOX,7,8 - 6,57.1%,75.0%,33.3%,Nuke
BC.Game,4,4 - 4,50.0%,75.0%,50.0%,Nuke
NAVI Junior,30,34 - 26,56.7%,82.4%,23.1%,Nuke
Sampi,33,35 - 31,53.0%,74.3%,16.1%,Nuke
GUN5,33,34 - 32,51.5%,88.2%,21.9%,Nuke
500,19,15 - 23,39.5%,86.7%,21.7%,Nuke
Falcons,33,32 - 34,48.5%,81.2%,41.2%,Nuke
InControl,9,11 - 7,61.1%,90.9%,0.0%,Nuke
XNL,2,3 - 1,75.0%,66.7%,0.0%,Nuke
Anonymo,14,13 - 15,46.4%,84.6%,26.7%,Nuke
Galorys,39,34 - 44,43.6%,91.2%,11.4%,Nuke
Preasy,34,35 - 33,51.5%,80.0%,21.2%,Nuke
NITRO,1,0 - 2,0.0%,-,0.0%,Nuke
GUILD fe,2,3 - 1,75.0%,100.0%,0.0%,Nuke
W7M,29,27 - 31,46.6%,85.2%,9.7%,Nuke
Alter Ego,2,1 - 3,25.0%,100.0%,33.3%,Nuke
Atrix,9,10 - 8,55.6%,100.0%,12.5%,Nuke
Dreams To Legends,3,3 - 3,50.0%,100.0%,33.3%,Nuke
11 minutos tarde,1,2 - 0,100.0%,100.0%,-,Nuke
Final Form,4,5 - 3,62.5%,80.0%,0.0%,Nuke
Elevate,11,12 - 10,54.5%,91.7%,0.0%,Nuke
Rebels,44,43 - 45,48.9%,79.1%,11.1%,Nuke
Dripmen,2,2 - 2,50.0%,50.0%,50.0%,Nuke
Bounty Hunters,25,19 - 31,38.0%,84.2%,22.6%,Nuke
XI,2,1 - 3,25.0%,100.0%,0.0%,Nuke
DRILLAS,5,7 - 3,70.0%,100.0%,0.0%,Nuke
Metizport,21,22 - 20,52.4%,90.9%,10.0%,Nuke
Hype,32,34 - 30,53.1%,88.2%,20.0%,Nuke
Complexity,21,22 - 20,52.4%,68.2%,10.0%,Nuke
PERA,24,27 - 21,56.2%,85.2%,4.8%,Nuke
Vantage,20,16 - 24,40.0%,68.8%,16.7%,Nuke
8Sins,2,0 - 4,0.0%,-,25.0%,Nuke
QUAZAR,3,4 - 2,66.7%,75.0%,0.0%,Nuke
BOSS,16,14 - 18,43.8%,78.6%,16.7%,Nuke
9INE Academy,1,0 - 2,0.0%,-,0.0%,Nuke
Yawara,5,6 - 4,60.0%,83.3%,0.0%,Nuke
ESC,2,2 - 2,50.0%,100.0%,50.0%,Nuke
Entropiq,13,10 - 16,38.5%,80.0%,25.0%,Nuke
Lynn Vision,21,25 - 17,59.5%,72.0%,0.0%,Nuke
Space,25,27 - 23,54.0%,85.2%,4.3%,Nuke
thekillaz fe,5,6 - 4,60.0%,83.3%,0.0%,Nuke
Stealth,3,2 - 4,33.3%,50.0%,25.0%,Nuke
France fe,2,2 - 2,50.0%,100.0%,0.0%,Nuke
Betera,8,11 - 5,68.8%,81.8%,20.0%,Nuke
Lazer Cats,3,2 - 4,33.3%,100.0%,0.0%,Nuke
Permitta,76,67 - 85,44.1%,74.2%,24.7%,Nuke
Intense,7,10 - 4,71.4%,100.0%,25.0%,Nuke
LEON,8,6 - 10,37.5%,66.7%,0.0%,Nuke
MAG,3,1 - 5,16.7%,100.0%,20.0%,Nuke
Arcade,8,10 - 6,62.5%,60.0%,0.0%,Nuke
DUSTY,2,1 - 3,25.0%,100.0%,0.0%,Nuke
UNiTY,27,32 - 22,59.3%,87.5%,9.1%,Nuke
WW,3,2 - 4,33.3%,100.0%,25.0%,Nuke
Fraud5,1,1 - 1,50.0%,100.0%,0.0%,Nuke
lajtbitexe,9,8 - 10,44.4%,100.0%,10.0%,Nuke
GODSENT,7,4 - 10,28.6%,75.0%,20.0%,Nuke
K27,6,4 - 8,33.3%,100.0%,37.5%,Nuke
Maximum Ego,1,1 - 1,50.0%,0.0%,100.0%,Nuke
MIRAI,1,1 - 1,50.0%,0.0%,0.0%,Nuke
Revenant,22,24 - 20,54.5%,87.5%,15.8%,Nuke
ENCE,28,28 - 28,50.0%,85.7%,17.9%,Nuke
Victores Sumus,3,4 - 2,66.7%,100.0%,0.0%,Nuke
The Prodigies,7,5 - 9,35.7%,100.0%,12.5%,Nuke
LA RUGONETA,7,9 - 5,64.3%,100.0%,40.0%,Nuke
Cloud9,12,11 - 13,45.8%,100.0%,7.7%,Nuke
Rooster,17,23 - 11,67.6%,82.6%,0.0%,Nuke
Homyno,7,5 - 9,35.7%,100.0%,11.1%,Nuke
Young Ninjas,6,5 - 7,41.7%,80.0%,0.0%,Nuke
FAVBET,28,27 - 29,48.2%,81.5%,3.4%,Nuke
Badass,2,1 - 3,25.0%,100.0%,0.0%,Nuke
JOGA DE TERNO,7,6 - 8,42.9%,100.0%,25.0%,Nuke
FTW,4,6 - 2,75.0%,66.7%,0.0%,Nuke
FORZE Ladies,2,2 - 2,50.0%,100.0%,50.0%,Nuke
WINDINGO,3,5 - 1,83.3%,80.0%,0.0%,Nuke
TSM Impact,4,4 - 4,50.0%,100.0%,0.0%,Nuke
Brasil Storm fe,1,1 - 1,50.0%,100.0%,0.0%,Nuke
Mythic,21,21 - 21,50.0%,76.2%,19.0%,Nuke
E9,2,3 - 1,75.0%,33.3%,0.0%,Nuke
NewBALLS,1,1 - 1,50.0%,100.0%,0.0%,Nuke
Limitless Angels,3,3 - 3,50.0%,100.0%,0.0%,Nuke
OMiT,3,3 - 3,50.0%,66.7%,66.7%,Nuke
Rounds,2,3 - 1,75.0%,100.0%,0.0%,Nuke
VP.Prodigy,14,15 - 13,53.6%,86.7%,7.7%,Nuke
